Class,Proportion [%]
Finance & Investments,14.09
Manufacturing,12.27
Technology,11.89
Fashion & Retail,10.08
Food & Beverage,8.03
Healthcare,7.61
Real Estate,7.31
Diversified,7.08
Energy,3.79
Media & Entertainment,3.45
Metals & Mining,2.8
Automotive,2.77
Service,2.01
Construction & Engineering,1.7
Logistics,1.52
Sports,1.48
Telecom,1.17
Gambling & Casinos,0.95
