Class,Proportion [%]
Ramesh Juneja,0.04
Ke Xiping & family,0.04
Kim Jun-ki,0.04
Scott Lin,0.04
Jim Koch,0.04
Raj Kumar,0.04
Spiro Latsis & family,0.04
Peter Leibinger,0.04
Regine Leibinger,0.04
Nicola Leibinger-Kammueller,0.04
Li Jianli,0.04
Li Jiaquan,0.04
Li Rucheng,0.04
Li Shui-po,0.04
Sidney Kimmel,0.04
Timothy Headington,0.04
Ilona Herlin,0.04
David Hoffmann,0.04
Stanley Hubbard,0.04
Hui Lin Chit,0.04
Tianjiang Jia & family,0.04
Zhaobai Jiang,0.04
Sergei Katsiev,0.04
Kim Jae-young,0.04
George Yancopoulos,0.04
William Koch,0.04
Pyotr Kondrashev,0.04
Eiichi Kuriwada,0.04
Robert Langer,0.04
Anthony Langley,0.04
Marianna Latsis & family,0.04
Lee Yeow Seng,0.04
Li Sze Lim,0.04
Li Wa,0.04
Randal J. Kirk,0.04
Leslie Alexander,0.04
Chen Tianshi,0.04
Chen Yung-tai,0.04
Chey Tae-won,0.04
Ivan Chrenko,0.04
Robert Clark,0.04
Jack Cockwell,0.04
Tench Coxe,0.04
Jim Crane,0.04
Irving Grousbeck & family,0.04
Jamie Dimon,0.04
Daniel Dines,0.04
Alfredo Egydio Arruda Villela Filho,0.04
Gary Fegel,0.04
"William Foley, II.",0.04
Richard Fortin,0.04
Gao Yi & family,0.04
Giammaria Giuliani,0.04
Bill Gross,0.04
Sue Gross,0.04
Norbert Dentressangle,0.04
Laurie Tisch,0.04
Steven Tisch,0.04
Michael Tojner,0.04
August Troendle,0.04
Tseng Sing-ai,0.04
Sekar Vembu,0.04
Chris Wallin,0.04
Wang Changtian,0.04
Ning Wang & family,0.04
Li Weiwei,0.04
Dan Wilks,0.04
Alan Wilson,0.04
Bruce Wilson,0.04
John Wilson,0.04
Anthony Wood,0.04
Wu Ying,0.04
Wu Yulan,0.04
Zhongyi Wu,0.04
Xiang Guangming & family,0.04
Xue Xiangdong & family,0.04
Scott Watterson,0.04
Liang Qin & family,0.04
Vincent Lo,0.04
Terence (Terry) Matthews,0.04
Jim McKelvey,0.04
P.N.C. Menon,0.04
Massimo Moratti,0.04
Liora Ofer,0.04
Stefan Pierer,0.04
Andreas Pohl,0.04
Peter Sperling,0.04
Michael Polsky,0.04
Francisco Jose Riberas Mera,0.04
Juan Maria Riberas Mera,0.04
Andres Santo Domingo,0.04
Sathien Sathientham,0.04
Shang Xiaobo & family,0.04
Yuri Shefler,0.04
Evgeny (Eugene) Shvidler,0.04
Ryan Smith,0.04
Zakhar Smushkin,0.04
"Reinfried Pohl, Jr.",0.04
Wang Zhenghua,0.04
David Wertheim,0.04
Kai Wu,0.04
Xu Yingzhuo,0.04
Yeung Kin-man,0.04
Huijiao Yu,0.04
Oren Zeev,0.04
Clayton Zekelman,0.04
Zhao Fenggang,0.04
Faisal Bin Qassim Al Thani,0.04
Travis Boersma,0.04
Martin Bouygues,0.04
Olivier Bouygues,0.04
William Boyd & family,0.04
Anand Burman,0.04
Cao Ji,0.04
Bruce Cheng,0.04
Chi Yufeng,0.04
Daniel Chiu,0.04
Alex Beard,0.04
Qi Xiangdong,0.04
Phillip T. (Terry) Ragon,0.04
Prathap Reddy,0.04
Jerry Reinsdorf,0.04
Chad Richison,0.04
"Karl Scheufele, III. & family",0.04
Alice Schwartz,0.04
Alex Shevchenko,0.04
Kavitark Ram Shriram,0.04
Wang Wenmo,0.04
William Stone,0.04
Henry Swieca,0.04
Harley Sy,0.04
Teresita Sy-Coson,0.04
Katsumi Tada,0.04
Tang Jinkui & family,0.04
Tang Xiao'ou,0.04
Lottie Tham & family,0.04
Shamsheer Vayalil,0.04
Radha Vembu,0.04
Jeffrey Soffer,0.04
Artem Khachatryan,0.04
Andrei Krivenko,0.04
Thomas Kwok,0.04
Lam Wai-ying,0.04
Marc Lasry,0.04
Christian Latouche & family,0.04
Theodore Leonsis,0.04
Lin Chang Su-O,0.04
Liu Chengyu & family,0.04
Beda Diethelm,0.04
Daniel Lubetzky,0.04
Melissa Ma,0.04
Anand Mahindra,0.04
Rafique Malik,0.04
Katarina Martinson,0.04
Kiran Mazumdar-Shaw,0.04
Nirmal Minda,0.04
Mu Rongjun,0.04
Eugene Murtagh,0.04
Sergey Lomakin,0.04
Domenico Dolce,0.04
Ralph Dommermuth,0.04
Georgi Domuschiev,0.04
Kiril Domuschiev,0.04
Bob Ell,0.04
Paul Foster,0.04
Stefano Gabbana,0.04
Xingjiang Gao,0.04
Gordon Getty,0.04
Eugene Kaspersky,0.04
Dennis Gillings,0.04
Harsh Goenka,0.04
Sanjiv Goenka,0.04
Jane Goldman,0.04
Stein Erik Hagen,0.04
Bahaa Hariri,0.04
Hortensia Herrero,0.04
Douglas Hsu,0.04
Huang Min,0.04
Jared Isaacman,0.04
Kamal Ghaffarian,0.04
Vadim Moshkovich,0.04
David Murdock,0.04
David Nahmad,0.04
Lirio Parisotto,0.04
Augusto Perfetti,0.04
Giorgio Perfetti,0.04
Alberto Prada,0.04
Marina Prada,0.04
Filiz Sahenk,0.04
Heloise Pratt,0.04
Stephan Schmidheiny,0.04
Alberto Siccardi & family,0.04
Stefan Soloviev,0.04
Tang Yiu,0.04
Tian Ming,0.04
T.Y. Tsai,0.04
Jayshree Ullal,0.04
Georg von Opel,0.04
Lang Walker,0.04
Richard Sands,0.04
K. Dinesh,0.04
James Duff,0.04
Thomas Duff,0.04
Daniel Ek,0.04
John Fisher,0.04
Georg Haub,0.04
Erman Ilicak,0.04
Justin Ishbia,0.04
Long Jiang,0.04
Mi Enhua,0.04
Bom Kim,0.04
