Class,Proportion [%]
Gary Magness,0.04
Mao Lixiang & family,0.04
David McMurtry,0.04
Deepak Mehta,0.04
Miao Shouliang,0.04
Miao Yongjun,0.04
K.C. Liu,0.04
Zhang Chuanwei & family,0.04
Zhang Keqiang,0.04
Zhang Xin,0.04
Xinghai Zhang & family,0.04
Zheng Jianjiang & family,0.04
Zhong Sheng Jian,0.04
Zhou Chengjian,0.04
Boris Zingarevich,0.04
A. Jayson Adair,0.04
Airat Shaimiev,0.04
Rajendra Agarwal,0.04
Chirayu Amin,0.04
Anant Asavabhokhin,0.04
Roman Avdeev,0.04
Ziv Aviram,0.04
Sachin Bansal,0.04
Kiki Barki,0.04
Elena Baturina,0.04
Banwari Lal Bawri,0.04
Soegiarto Adikoesoemo,0.04
Radik Shaimiev,0.04
Nobutoshi Shimamura,0.04
Jared Smith,0.04
Charlotte Soderstrom,0.04
Anand Surana,0.04
Dilip Surana,0.04
Wilma Tisch,0.04
Jianyi Wang,0.04
Wang Jilei,0.04
Yuan Liping,0.04
Wang Zelong,0.04
Werner O. Weber,0.04
Anne Werninghaus,0.04
"Alfred West, Jr.",0.04
Bo Wu,0.04
Wu Chaoqun,0.04
Swift Xie,0.04
Xu Guozhong & family,0.04
Yao Kuizhang,0.04
Yu Peidi,0.04
Shuifu Wang,0.04
Jeff Tangney,0.04
Yuequn Tao,0.04
David Teoh,0.04
Carmen Thyssen,0.04
Tran Ba Duong & family,0.04
Kenny Troutt,0.04
Jens von Bahr,0.04
Wang Junmin,0.04
Weng Xianding,0.04
Kwek Leng Peck,0.04
Gordon Wu,0.04
Xiong Wu,0.04
Xu Zhenhua,0.04
Xu Zhihan,0.04
Tingdong Yang,0.04
Michael Minhong Yu,0.04
Justin Yuan,0.04
Zhang Bangxin,0.04
Zhang Hong,0.04
Farris Wilks,0.04
Kishin RK,0.04
Carlos Rodriguez-Pastor,0.04
Christopher Rokos,0.04
John Ruiz,0.04
Sheryl Sandberg,0.04
Amnon Shashua,0.04
Ben Silbermann,0.04
Ron Sim,0.04
Leonid Simanovsky,0.04
Prachak Tangkaravakoon,0.04
Frank Slootman,0.04
Terry Snow,0.04
Axel Stawski,0.04
Thomas Steyer,0.04
Sergei Studennikov & family,0.04
Su Suyu & family,0.04
Kevin Systrom,0.04
Tan Lili,0.04
Tang Binsen,0.04
Tang Rui,0.04
Basudeo Singh,0.04
Torstein Hagen,0.04
Ayman Hariri,0.04
Alfredo Harp Helu & family,0.04
He Xiaopeng,0.04
Christoph Henkel,0.04
Daniel Hirschfeld,0.04
Drew Houston,0.04
Huang Jinxiang & family,0.04
Rameshchandra Jain,0.04
Zhou Zongwen & family,0.04
Kim Taek-jin,0.04
Koh Wee Meng,0.04
Sergei Kolesnikov,0.04
Hemendra Kothari,0.04
Sebastian Kulczyk,0.04
Kwee Liong Keng,0.04
Kwee Liong Phing,0.04
Kwee Liong Seen,0.04
Kwee Liong Tek,0.04
Kwek Leng Keow,0.04
Ke Zunhong & family,0.04
Antti Aarnio-Wihuri,0.04
Alberto Alcocer,0.04
Nigel Austin,0.04
Binny Bansal,0.04
Girdhari Lal Bawri,0.04
John Bloor,0.04
Vladimir Bogdanov,0.04
Amit Burman,0.04
Cai Jianyong,0.04
Rajinder Gupta,0.04
Chen Wenyuan & family,0.04
Chua Thian Poh,0.04
Sasson Dayan & family,0.04
Chris Ellison,0.04
John Farber,0.04
J. Christopher Flowers,0.04
Reinold Geiger,0.04
Ali Ghodsi,0.04
Lance Gokongwei,0.04
Guan Yihong,0.04
Steve Case,0.04
Wu Xiaoge,0.04
Wu Xushun & family,0.04
Xiong Xiaochuan,0.04
Xu Shaochun,0.04
Yan Jane & family,0.04
Zeng Chaoyi,0.04
Peng Zhao,0.04
Zhao Tongtong,0.04
Kostyantin Zhevago,0.04
Othman Benjelloun & family,0.04
Sanjay Agarwal,0.04
Hamad bin Jassim bin Jaber Al Thani,0.04
Joao Alves de Queiroz Filho,0.04
Jose Maria Aristrain,0.04
Michael Arougheti,0.04
Tope Awotona,0.04
Mehmet Aydinlar,0.04
Danna Azrieli,0.04
Naomi Azrieli,0.04
Zong Yanmin,0.04
James Scapa,0.04
Stephan Schnabel,0.04
Devi Shetty,0.04
Albert Shigaboutdinov,0.04
Diana Teh Li Shing,0.04
Denis Shtengelov,0.04
Fei Song,0.04
Hal Steinbrenner,0.04
Jessica Steinbrenner,0.04
Myron Wentz,0.04
Konstantin Strukov & family,0.04
Rustem Sulteev,0.04
Clemens Toennies,0.04
Robert Toennies,0.04
John Van Lieshout,0.04
Pongsak Viddayakorn,0.04
Wang Jianguo,0.04
Junjin Wang,0.04
Wang Mingwang,0.04
Wei Lidong & family,0.04
Jennifer Steinbrenner Swindal,0.04
Zsolt Felcsuti,0.04
Ben Francis,0.04
Gary Friedman,0.04
Dan Gertler,0.04
Balkrishan Goenka,0.04
Lawrence Golub,0.04
Saroj Rani Gupta,0.04
Anthony Hall,0.04
Fahed Hariri,0.04
Sharon Azrieli,0.04
Michael Heine,0.04
Orion Hindawi,0.04
Lawrence Ho,0.04
Huang Guanlin,0.04
Sam Hupert,0.04
Mohammed Ibrahim,0.04
Shirley Kao,0.04
David Kaplan,0.04
Kim Kardashian,0.04
Richard Hayne,0.04
Bai Houshan,0.04
Thomas Bailey,0.04
Bernhard Braun-Luedicke,0.04
Eva Maria Braun-Luedicke,0.04
Friederike Braun-Luedicke,0.04
Jeffrey Cheah,0.04
Chen Xianbao & family,0.04
Cheng Xianfeng,0.04
Chung Yong-jin,0.04
David Feffer,0.04
Diego Della Valle,0.04
Ashwin Desai,0.04
Richard Desmond,0.04
Ding Shui Po,0.04
Sefik Yilmaz Dizdar,0.04
Mathias Doepfner,0.04
Farhad Ebrahimi,0.04
Jose Roberto Ermirio de Moraes,0.04
Jose Ermirio de Moraes Neto,0.04
Fang Hongbo,0.04
Darwin Deason,0.04
Yoichi Erikawa,0.04
Philip Fayer,0.04
Marvy Finger,0.04
Simona Giorgetta,0.04
Joel Greenberg,0.04
He Zhiping,0.04
Heikki Herlin,0.04
Hoi Kin Hong,0.04
Lillyn Teh Li Hua,0.04
Hajime Satomi,0.04
Mitchell Jacobson,0.04
Anurang Jain,0.04
Jiang Guiting & family,0.04
Jin Xin,0.04
Conni Jonsson,0.04
George Joseph,0.04
Laurent Junique,0.04
Zbigniew Juroszek & family,0.04
Alexander Karp,0.04
Gregg Hymowitz,0.04
Hari Bhartia,0.04
Shyam Bhartia,0.04
Stewart Butterfield,0.04
Cai Mingtong,0.04
Anthony Casalena,0.04
Chang Jianming & family,0.04
Richard Chang,0.04
Chen Xuehua,0.04
Chen Yin,0.04
Keiko Erikawa,0.04
R. Marcelo Claure,0.04
Alberto Cortina,0.04
Eduardo Costantini,0.04
Wenjun Dai,0.04
Anand Deshpande,0.04
Aydin Dogan,0.04
Annalisa Doris,0.04
Massimo Doris,0.04
Weimin Du,0.04
Timothy Dunn & family,0.04
Chin Jong Hwa,0.04
Carsten Maschmeyer,0.04
Lillian Teh Li Ming,0.04
Martin Moller Nielsen,0.04
Jahm Najafi,0.04
Randal Nardone,0.04
Nguyen Dang Quang,0.04
Kazuo Okada,0.04
John Oyler,0.04
William Teh Lee Pang,0.04
Joe Kiani,0.04
Qu Miranda,0.04
Jupally Rameshwar Rao,0.04
G. M. Rao,0.04
P.V. Ramprasad Reddy,0.04
Satish Reddy,0.04
Fernando Roig,0.04
Igor Rotenberg,0.04
Seifeddin Rustamov,0.04
Deniz Sahenk,0.04
Nobutada Saji,0.04
George Pedersen & family,0.04
Seth Klarman,0.04
Kagemasa Kozuki,0.04
Michael Krasny,0.04
Eduard Kucera,0.04
Kristo Käärmann,0.04
Gary Lauder,0.04
Lee Hae-jin,0.04
Art Levinson,0.04
Li Denghai,0.04
Yves-Loic Martin,0.04
Li Yongqing,0.04
Li Zhigang,0.04
Liu Gexin & family,0.04
Itamar Locks & family,0.04
Lu Hongyan,0.04
Lv Jianming,0.04
Blairo Maggi,0.04
Yasseen Mansour,0.04
Charlwin Mao,0.04
George Marcus,0.04
Fengluan Li,0.04
Michael Milken,0.04
David Steward,0.04
Les Wexner & family,0.04
Cai Kui,0.04
Jaran Chiaravanont,0.04
Andreas Halvorsen,0.04
Antony Ressler,0.04
Tsai Eng-meng,0.04
Josh Harris,0.04
Samuel Chen,0.04
Patrick Soon-Shiong,0.04
Rinat Akhmetov,0.04
John Brown,0.04
Clive Calder,0.04
Arthur Irving,0.04
Fredrik Lundberg,0.04
Thomas Schmidheiny,0.04
Helmut Sohmen,0.04
Daniel Ziff,0.04
Niels Peter Louis-Hansen,0.04
Frits Goldschmeding,0.04
Lin Muqin & family,0.04
Ruan Liping,0.04
Ruan Xueping,0.04
Michal Solowow,0.04
Mike Adenuga,0.04
Tom Gores,0.04
Michael Herz,0.04
Wolfgang Herz,0.04
Frank Lowy,0.04
Sunil Mittal,0.04
Zhou Qunfei,0.04
Alexander Abramov,0.04
Rene Benko,0.04
Neil Bluhm,0.04
Alain Bouchard,0.04
Jay Chaudhry,0.04
Gopikishan Damani,0.04
Sumet Jiaravanon,0.04
Joe Lewis,0.04
Michael Kadoorie,0.04
Jiang Weiping & family,0.04
Wolfgang Marguerre & family,0.04
Ludwig Merckle,0.04
Mitchell Rales,0.04
Katharine Rayner,0.04
Jean Salata,0.04
Paul Singer,0.04
Sergio Stevanato & family,0.04
Margaretta Taylor,0.04
Dirk Ziff,0.04
Zhao Yan,0.04
Patrizio Bertelli,0.04
Mahendra Choksi & family,0.04
Mat Ishbia,0.04
Leo Koguan,0.04
Miao Hangen,0.04
Michael Pieper,0.04
Miuccia Prada,0.04
Wolfgang Reimann,0.04
Richard White,0.04
Robert Ziff,0.04
Maria Angelicoussis,0.04
Ray Lee Hunt,0.04
Lai Meisong,0.04
Vikram Lal & family,0.04
Ken Langone,0.04
Li Ge,0.04
Karen Pritzker,0.04
Robert Rowling,0.04
James Irving,0.04
Seo Jung-jin,0.04
Wu Jianshu,0.04
Micky Arison,0.04
James Chambers,0.04
Pierre Chen,0.04
John Collison,0.04
Patrick Collison,0.04
Archie Aldis Emmerson & family,0.04
Piero Ferrari,0.04
Dan Friedkin,0.04
Teddy Sagi,0.04
Dannine Avara,0.04
Silvio Berlusconi & family,0.04
Denise Coates,0.04
Scott Duncan,0.04
Milane Frantz,0.04
"Edward Johnson, IV.",0.04
Yuri Milner,0.04
Gordon Moore,0.04
John Overdeck,0.04
Gustaf Douglas,0.04
Viktor Vekselberg,0.04
Wang Laisheng,0.04
Randa Duncan Williams,0.04
Ken Fisher,0.04
Christopher Hohn,0.04
Kjeld Kirk Kristiansen,0.04
Sofie Kirk Kristiansen,0.04
Thomas Kirk Kristiansen,0.04
Massimiliana Landini Aleotti & family,0.04
David Siegel,0.04
Zhang Hejun,0.04
Marc Benioff,0.04
Dmitri Bukhman,0.04
Igor Bukhman,0.04
Jack Dangermond,0.04
Ashwin Dani & family,0.04
Ralph Lauren,0.04
Law Kar Po,0.04
Rohiqa Cyrus Mistry,0.04
Ronda Stryker,0.04
J. Christopher Reyes,0.04
Jude Reyes,0.04
Don Vultaggio & family,0.04
Alejandro Bailleres Gual & family,0.04
Edythe Broad & family,0.04
Pauline MacMillan Keinath,0.04
Philippe Laffont,0.04
Liu Jincheng & family,0.04
Igor Olenicoff,0.04
Sandra Ortega Mera,0.04
Shapoor Mistry,0.04
Annette Lerner & family,0.04
David Reuben,0.04
Simon Reuben,0.04
Radovan Vitek,0.04
Carl Bennet,0.04
Stephen Bisciotti,0.04
Stanley Druckenmiller,0.04
Jian Jun,0.04
Alexei Kuzmichev,0.04
Li Ping,0.04
Luis Carlos Sarmiento,0.04
Dennis Washington,0.04
Anthony Bamford & family,0.04
Gao Jifan & family,0.04
John Grayken,0.04
Alain Merieux & family,0.04
Wang Yusuo & family,0.04
Stef Wertheimer & family,0.04
Maria Asuncion Aramburuzabala & family,0.04
Dmitry Rybolovlev & family,0.04
Lin Jianhua,0.04
Magdalena Martullo-Blocher,0.04
Xavier Niel,0.04
Terrence Pegula,0.04
"Edward Roski, Jr.",0.04
John A. Sobrato & family,0.04
George Soros,0.04
David Sun,0.04
Agnete Kirk Thinggaard,0.04
Nathan Kirsh,0.04
Xu Shihui,0.04
Rahel Blocher,0.04
Bubba Cathy,0.04
Dan Cathy,0.04
Trudy Cathy White,0.04
Bruce Kovner,0.04
"Henry Nicholas, III.",0.04
Nadia Thiele,0.04
David Bonderman,0.04
Melinda French Gates,0.04
John Tu,0.04
Li Chunan,0.04
Forrest Li,0.04
Richard Li,0.04
Doug Meijer & family,0.04
Hank Meijer & family,0.04
Mark Meijer & family,0.04
Issad Rebrab & family,0.04
Fred Smith,0.04
Barry Sternlicht,0.04
Matthias Reimann-Andersen,0.04
Russ Weiner,0.04
Xue Min,0.04
Juan Domingo Beckmann Legorreta & family,0.04
Dietmar Hopp & family,0.04
Jiang Bin,0.04
Joseph Liemandt,0.04
Theo Mueller,0.04
N.R. Narayana Murthy,0.04
Odd Reitan & family,0.04
Maximilian Viessmann,0.04
Horst Julius Pudwill,0.04
Yu Yong,0.04
Maria Fernanda Amorim & family,0.04
Gayle Benson,0.04
Jason Chang,0.04
Ali Erdemoglu,0.04
Andre Esteves,0.04
Carlo Fidani,0.04
Hong Ra-hee,0.04
Ronald Lauder,0.04
Thomas Secunda,0.04
Zuowen Song,0.04
Tim Sweeney,0.04
Bert Beveridge,0.04
Mark Cuban,0.04
Charles Dolan & family,0.04
Jack Dorsey,0.04
Fan Hongwei,0.04
Vladimir Kim,0.04
"Andre Koo, Sr.",0.04
Li Gaiteng,0.04
Hu Kaijun,0.04
Johnelle Hunt,0.04
Marian Ilitch,0.04
Daryl Katz,0.04
Andrei Kozitsyn,0.04
Timur Kulibaev,0.04
Dinara Kulibaeva,0.04
Ian Livingstone,0.04
Richard Livingstone,0.04
Marc Rowan,0.04
Jay Paul,0.04
Pham Nhat Vuong,0.04
Jon Stryker,0.04
Daniel Tsai,0.04
Richard Tsai,0.04
Frank Wang,0.04
Wang Junshi & family,0.04
Wang Wenjing,0.04
Herbert Wertheim,0.04
Gwendolyn Sontheim Meyer,0.04
Hussain Sajwani,0.04
David Velez & family,0.04
Xu Jinfu,0.04
Samuel Yin,0.04
You Xiaoping & family,0.04
Stéphane Bancel,0.04
Margot Birmingham Perot,0.04
Neal Blue & family,0.04
Jim Davis,0.04
Jose E. Feliciano,0.04
Peter Grogg,0.04
Christian Haub,0.04
Mangal Prabhat Lodha,0.04
Jeffrey Lurie & family,0.04
Joe Mansueto,0.04
Qian Dongqi & family,0.04
Mikhail Shelkov,0.04
Patrick Drahi,0.04
Behdad Eghbali,0.04
Juan Carlos Escotet,0.04
Rafael Del Pino,0.04
Ananda Krishnan,0.04
Barry Lam,0.04
"Robert Rich, Jr.",0.04
Mark Scheinberg,0.04
Charles Simonyi,0.04
Ty Warner,0.04
Sam Zell,0.04
Fang Wei,0.04
Rekha Jhunjhunwala,0.04
Pankaj Patel,0.04
Kwon Hyuk-bin,0.04
Sami Mnaymneh,0.04
Kjell Inge Rokke,0.04
Tony Tamer,0.04
Tse Ping & family,0.04
Romesh T. Wadhwani,0.04
Hansjoerg Wyss,0.04
Denise York & family,0.04
Ron Baron,0.04
Charles B. Johnson,0.04
Stefan Reimann-Andersen,0.04
Renate Reimann-Haas,0.04
Todd Boehly,0.04
Rick Caruso,0.04
Ibrahim Erdemoglu,0.04
Elizabeth Johnson,0.04
Douglas Leone,0.04
Prajogo Pangestu,0.04
Thomas Pritzker,0.04
Micky Jagtiani,0.04
Stewart Resnick,0.04
Gary Rollins,0.04
Mark Walter,0.04
Ronald Wanek,0.04
Erich Wesjohann & family,0.04
M.A. Yusuff Ali,0.04
Alexandre Behring,0.04
Cheng Xue,0.04
Robert Faith,0.04
Gao Dekang & family,0.04
Lynda Resnick,0.04
Jonathan Gray,0.04
Bidzina Ivanishvili,0.04
Lim Hariyanto Wijaya Sarwono,0.04
Rudolf Maag,0.04
Emanuele (Lino) Saputo & family,0.04
Mark Shoen,0.04
Dan Snyder,0.04
Chairul Tanjung,0.04
Kelcy Warren,0.04
Robert Bass,0.04
Michael Ashley,0.04
Tomasz Biernacki,0.04
Bernard Broermann,0.04
Jimmy Haslam,0.04
H. Fisk Johnson,0.04
S. Curtis Johnson,0.04
Helen Johnson-Leipold,0.04
Vinod Khosla,0.04
Thai Lee,0.04
Winifred J. Marquart,0.04
Zhang Tao,0.04
Dona Bertarelli,0.04
Alexander Gerko,0.04
Martin Haefner,0.04
"Robert Hale, Jr.",0.04
Viktor Kharitonin,0.04
Kim Beom-su,0.04
Jane Lauder,0.04
Michel Leclercq & family,0.04
George Lucas,0.04
Tom Golisano,0.04
Ugur Sahin,0.04
Alexandra Schoerghuber & family,0.04
Thomas Straumann,0.04
Murat Ulker,0.04
Chip Wilson,0.04
Zhu Yan & family,0.04
Jim Davis & family,0.04
Murali Divi & family,0.04
Dagmar Dolby & family,0.04
Marcos Galperin,0.04
Janice McNair,0.04
Eric Schmidt,0.04
Michael Platt,0.04
Pang Kang,0.04
Karl Albrecht Jr. & family,0.04
Beate Heister,0.04
Jorge Paulo Lemann & family,0.04
Peter Woo,0.04
Dilip Shanghvi,0.04
Robert Pera,0.04
Wee Cho Yaw,0.04
Huang Shilin,0.04
Dhanin Chearavanont,0.04
David Green & family,0.04
Charoen Sirivadhanabhakdi,0.04
Charlene de Carvalho-Heineken & family,0.04
Xu Hang,0.04
Wei Jianjun & family,0.04
Alisher Usmanov,0.04
Goh Cheng Liang,0.04
Radhakishan Damani,0.04
Eric Li,0.04
Wang Wenyin,0.04
Eyal Ofer,0.04
Qin Yinglin,0.04
Wang Chuanfu,0.04
Harold Hamm & family,0.04
David Tepper,0.04
Gennady Timchenko,0.04
Daniel Gilbert,0.04
Stefan Persson,0.04
Steve Cohen,0.04
Carl Icahn,0.04
Savitri Jindal & family,0.04
Donald Bren,0.04
"John Menard, Jr.",0.04
Rupert Murdoch & family,0.04
Vicky Safra & family,0.04
"Theo Albrecht, Jr. & family",0.04
Renata Kellnerova & family,0.04
Li Xiting,0.04
Lakshmi Mittal,0.04
Robert Kuok,0.04
Stephen Ross,0.04
Pavel Durov,0.04
Andreas Struengmann & family,0.04
Thomas Struengmann & family,0.04
Liu Hanyuan,0.04
Michael Rubin,0.04
Israel Englander,0.04
Viatcheslav Kantor,0.04
Kumar Birla,0.04
Mikhail Prokhorov,0.04
Giorgio Armani,0.04
Johann Rupert & family,0.04
Gong Hongjia & family,0.04
Zhang Zhidong,0.04
Philip Anschutz,0.04
Judy Love & family,0.04
Ricardo Salinas Pliego & family,0.04
Donald Newhouse,0.04
Anthony Pratt,0.04
Aliko Dangote,0.04
Kwong Siu-hing,0.04
Idan Ofer,0.04
Chen Bang,0.04
Lui Che Woo,0.04
John Fredriksen,0.04
Diane Hendricks,0.04
Jan Koum,0.04
Jerry Jones,0.04
Laurene Powell Jobs & family,0.04
Joseph Lau,0.04
Lu Xiangyang,0.04
Harry Triguboff,0.04
Uday Kotak,0.04
Stanley Kroenke,0.04
Mikhail Fridman,0.04
Sarath Ratanavadi,0.04
Dang Yanbao,0.04
Jiang Rensheng & family,0.04
Shahid Khan,0.04
George Kaiser,0.04
Petter Stordalen & family,0.04
Ashok Kajaria,0.04
Marcelo Kalim,0.04
Ken Kendrick,0.04
Brad Keywell,0.04
Muhammed Aziz Khan,0.04
Kim Jung-woong,0.04
Ihor Kolomoyskyy,0.04
Kong Jian Min,0.04
Ray Dalio,0.04
Michael Kum,0.04
Richard Kurtz,0.04
Lev Kvetnoi,0.04
Michiel Le Roux,0.04
Li Wanqiang,0.04
Liu Baolin,0.04
Loo Choon Yong,0.04
Lu Yonghua & family,0.04
Ma Xiuhui,0.04
Koo Bon-neung,0.04
David Thomson & family,0.04
Inigo Zobel,0.04
Bernard Arnault & family,0.04
Elon Musk,0.04
Jeff Bezos,0.04
Larry Ellison,0.04
Warren Buffett,0.04
Bill Gates,0.04
Michael Bloomberg,0.04
Johan Johannson,0.04
Mukesh Ambani,0.04
Steve Ballmer,0.04
Francoise Bettencourt Meyers & family,0.04
Larry Page,0.04
Hong Seok-joh,0.04
Hu Gengxi & family,0.04
Danilo Iervolino,0.04
Hedda im Brahm-Droege,0.04
Inder Jaisinghani,0.04
LeBron James,0.04
Carlos Slim Helu & family,0.04
Jack Ma,0.04
He Xiangjian & family,0.04
Iris Fontbona & family,0.04
Michael Hartono,0.04
James Ratcliffe,0.04
Cyrus Poonawalla,0.04
Masayoshi Son,0.04
Vladimir Lisin,0.04
Emmanuel Besnier,0.04
Apoorva Mehta,0.04
Leonid Mikhelson & family,0.04
Lukas Walton,0.04
Wang Wei,0.04
Jensen Huang,0.04
Leonard Lauder,0.04
Takemitsu Takizaki,0.04
Alexey Mordashov & family,0.04
Vagit Alekperov,0.04
"Thomas Frist, Jr. & family",0.04
Andrew Forrest,0.04
Abigail Johnson,0.04
Gabriella Meister,0.04
Ulrike Meister,0.04
Andrei Molchanov,0.04
Fulvio Montipò & family,0.04
Sergey Brin,0.04
Lee Shau Kee,0.04
Jeff Yass,0.04
Jim Simons,0.04
Stephen Schwarzman,0.04
Vladimir Potanin,0.04
Gina Rinehart,0.04
William Ding,0.04
Germán Larrea Mota Velasco & family,0.04
Shiv Nadar,0.04
Low Tuck Kwong,0.04
Thomas Peterffy,0.04
Andrey Melnichenko & family,0.04
Stefan Quandt,0.04
MacKenzie Scott,0.04
R. Budi Hartono,0.04
Susanne Klatten,0.04
Nancy Walton Laurie,0.04
Jay Y. Lee,0.04
Ramzi Musallam,0.04
David Shaw,0.04
Andrei Skoch & family,0.04
Georg Stumpf,0.04
Rocco Commisso,0.04
Li Shuirong & family,0.04
Lin Shu-hong,0.04
Robert Kraft,0.04
Yao Liangsong,0.04
Zhang Congyuan,0.04
Jean-Michel Besnier,0.04
Marie Besnier Beauvalot,0.04
David Geffen,0.04
Robin Li,0.04
Liu Yonghao & family,0.04
Henry Samueli,0.04
Reinhold Schmieding,0.04
Qi Shi & family,0.04
Francis Choi,0.04
German Khan,0.04
Abdulsamad Rabiu,0.04
George Roberts,0.04
Kushal Pal Singh,0.04
Wang Jianlin,0.04
Yang Huiyan & family,0.04
Laurent Dassault,0.04
Thierry Dassault,0.04
Ding Shizhong,0.04
Marie-Hélène Habert-Dassault,0.04
Karel Komarek,0.04
Nathan Blecharczyk,0.04
Leonid Fedun,0.04
Bernard Marcus,0.04
Patrick Ryan,0.04
Robert F. Smith,0.04
Pavel Tykac,0.04
Eric Wittouck,0.04
Orlando Bravo,0.04
Tilman Fertitta,0.04
Harry Stine,0.04
Benu Gopal Bangur,0.04
Iskander Makhmudov,0.04
Anders Holch Povlsen,0.04
Enrique Razon Jr.,0.04
Wang Laichun,0.04
Arthur Dantchik,0.04
Terry Gou,0.04
Jeff Greene,0.04
Ivar Tollefsen,0.04
Richard Kinder,0.04
Guillaume Pousaz,0.04
Takahisa Takahara,0.04
Zong Qinghou,0.04
Judy Faulkner,0.04
Johann Graf,0.04
Tamara Gustavson,0.04
Liang Wengen,0.04
Frederik Paulsen,0.04
Don Hankey,0.04
Cao Renxian,0.04
Hasmukh Chudgar & family,0.04
Andrew Currie,0.04
Joe Gebbia,0.04
Philip Ng,0.04
John Reece,0.04
Leonard Stern,0.04
Joseph Tsai,0.04
Zhong Huijuan,0.04
Nassef Sawiris,0.04
Charles Butt,0.04
Ding Shijia,0.04
"Paul Tudor Jones, II.",0.04
Henry Kravis,0.04
Zhang Yong,0.04
James Goodnight,0.04
Sri Prakash Lohia,0.04
Ma Jianrong,0.04
Robert Ng,0.04
Steven Rales,0.04
Arthur Blank,0.04
Rodolphe Saadé,0.04
Tanya Saadé Zeenny,0.04
Melker Schorling & family,0.04
Andrei Guriev & family,0.04
Michael Kim,0.04
Lei Jun,0.04
Friedhelm Loh,0.04
Sun Piaoyang,0.04
Rick Cohen & family,0.04
Francine von Finck & family,0.04
Luo Liguo & family,0.04
Marijke Mars,0.04
Pamela Mars,0.04
Valerie Mars,0.04
Victoria Mars,0.04
Vincent Bolloré & family,0.04
Jim Pattison,0.04
Ernesto Bertarelli,0.04
Wang Xing,0.04
Jin Baofang,0.04
Marcel Herrmann Telles,0.04
Suleiman Kerimov & family,0.04
Sky Xu,0.04
Changpeng Zhao,0.04
Andrew Beal,0.04
Mike Cannon-Brookes,0.04
Carl Cook,0.04
David Duffield,0.04
Jeffery Hildebrand,0.04
"Jacques Saadé, Jr.",0.04
Eduardo Saverin,0.04
Georg Schaeffler,0.04
Christy Walton,0.04
Scott Farquhar,0.04
Quek Leng Chan,0.04
Wu Yajun,0.04
Autry Stephens,0.04
Liu Yongxing,0.04
Vinod Adani,0.04
Nicolas Puech,0.04
Viktor Rashnikov,0.04
Pei Zhenhua,0.04
Carrie Perrodo & family,0.04
Chen Jianhua,0.04
Michael Otto,0.04
Leon Black,0.04
Graeme Hart,0.04
Ravi Jaipuria,0.04
Hasso Plattner & family,0.04
Carlos Alberto Sicupira & family,0.04
Brian Chesky,0.04
Andreas von Bechtolsheim & family,0.04
"Chase Coleman, III.",0.04
Ann Walton Kroenke,0.04
Li Zhenguo & family,0.04
Jim Kennedy,0.04
Nicky Oppenheimer & family,0.04
Blair Parry-Okeden,0.04
Zheng Shuliang & family,0.04
John Morris,0.04
Stefano Pessina,0.04
Manuel Villar,0.04
James Dyson,0.04
Roman Abramovich & family,0.04
Antonia Ax:son Johnson & family,0.04
Daniel Kretinsky,0.04
John Malone,0.04
Azim Premji,0.04
Charles Schwab,0.04
Eric Smidt,0.04
David Cheriton,0.04
Pierre Omidyar,0.04
Alexander Otto,0.04
Anthony von Mandl,0.04
Wang Liping & family,0.04
Finn Rausing,0.04
Jorn Rausing,0.04
Kirsten Rausing,0.04
Tatyana Bakalchuk,0.04
John Doerr,0.04
Richard Liu,0.04
Dustin Moskovitz,0.04
Ivan Glasenberg,0.04
Stewart Rahr,0.04
Su Hua,0.04
Sun Shoukuan,0.04
Tseng Cheng,0.04
Tung Chee Hwa,0.04
Meg Whitman,0.04
Wong Luen Hei,0.04
Chenghai Ye & family,0.04
Zhu Xingming,0.04
Shari Arison,0.04
Juan Abello,0.04
Suhail Bahwan,0.04
Madhur Bajaj,0.04
Niraj Bajaj,0.04
Shekhar Bajaj,0.04
Harindarpal Banga,0.04
Ulrike Baro,0.04
Anne Beaufour,0.04
Henri Beaufour,0.04
Jose Joao Abdalla Filho,0.04
Eleanor Butt Crook & family,0.04
Du Jiangtao & family,0.04
Lorenzo Fertitta,0.04
Sebastian Glaser,0.04
Adi Godrej,0.04
Jamshyd Godrej,0.04
Lee Yeow Chor,0.04
Li Weiguo,0.04
Dmitry Mazepin,0.04
Sean Parker,0.04
Najib Mikati,0.04
Taha Mikati,0.04
Akira Mori & family,0.04
Rishad Naoroji,0.04
Philip Niarchos,0.04
Nandan Nilekani,0.04
Benjamin Otto,0.04
Maren Otto,0.04
Ranjan Pai,0.04
Madhukar Parekh,0.04
"Drayton McLane, Jr.",0.04
Angela Leong,0.04
Li Zhongchu,0.04
Liang Yunchao,0.04
Vincent McMahon,0.04
Patrice Motsepe,0.04
Denis O'Brien,0.04
Timm Oberwelland,0.04
Dan Olsson,0.04
Yuji Otsuka,0.04
Andrei Bokarev,0.04
Karsanbhai Patel,0.04
Richard Peery,0.04
Gianfelice Rocca,0.04
Paolo Rocca,0.04
Wayne Rothbaum,0.04
Jeff Rothschild,0.04
Raj Sardana,0.04
Christiane Schoeller,0.04
Salil Singhal,0.04
Pan Dong,0.04
Jack Cowin,0.04
Glenn Dubin,0.04
N. Murray Edwards,0.04
"Frank Fertitta, III.",0.04
Abhay Firodia,0.04
Bruce Flatt,0.04
Miguel Fluxa Rossello,0.04
