Class,Proportion [%]
Sandor,0.04
Qin,0.04
Nerio,0.04
Patricia,0.04
Aziz,0.04
Mori,0.04
Shiv Kishan,0.04
Yubai,0.04
Xuexin,0.04
Yulan,0.04
Zadik,0.04
Dasheng,0.04
Saket,0.04
Ahmet,0.04
Steven Meng,0.04
Zhongyi,0.04
Safra,0.04
Kuo-Hua,0.04
Kaitian,0.04
Eiichi,0.04
Youssef,0.04
Marianna,0.04
Yeow Seng,0.04
Zongjun,0.04
Zhongfang,0.04
Sze Lim,0.04
Wa,0.04
Weiwei,0.04
Xiucai,0.04
Shui-po,0.04
Terence (Terry),0.04
Rucheng,0.04
P.N.C.,0.04
Jiaquan,0.04
Archie,0.04
Rajeev,0.04
Zakhar,0.04
Evgeny (Eugene),0.04
Ramesh,0.04
Xiping,0.04
Xiaobo,0.04
Jun-ki,0.04
Jianli,0.04
Andres,0.04
Juan Maria,0.04
Francisco Jose,0.04
Reinfried,0.04
Sidney,0.04
Liora,0.04
Spiro,0.04
Regine,0.04
Sathien,0.04
Fritz,0.04
Sol,0.04
Prathip,0.04
Manas,0.04
Zhisong,0.04
Qiongxiang,0.04
Huxiong,0.04
Jianxing,0.04
Nikolai,0.04
Mika,0.04
Hongfei,0.04
S.D.,0.04
Shilong,0.04
Ales,0.04
Hope,0.04
Wichai,0.04
Otto Toto,0.04
Sylvia,0.04
Zygmunt,0.04
Bhadresh,0.04
T. Denny,0.04
Ginia,0.04
Bianca,0.04
P.V. Krishna,0.04
Wanzhen,0.04
Vardis,0.04
Masateru,0.04
Mehmet Sinan,0.04
Hermanto,0.04
Lucy,0.04
Wen-long,0.04
Qinxiang,0.04
Jianxiong,0.04
Dwight,0.04
Narendrakumar,0.04
Kentaro,0.04
Bulent,0.04
Sarah,0.04
Dingqiang,0.04
Somsri,0.04
Dominika,0.04
Wing Mau,0.04
B. Wayne,0.04
Rongda,0.04
Reid,0.04
Caroline,0.04
Surjit Kumar,0.04
Zhenyu,0.04
Faruk,0.04
Strive,0.04
Ing-Chou,0.04
